OMRÅDE,ALDER,KØN,TID,INDHOLD
Vejle,Alder i alt,I alt,2008,1.6
Herning,Alder i alt,I alt,2008,1.6
Holstebro,Alder i alt,I alt,2008,1.8
Lemvig,Alder i alt,I alt,2008,2.0
Billund,Alder i alt,I alt,2019,2.4
Sønderborg,Alder i alt,I alt,2019,3.5
Tønder,Alder i alt,I alt,2019,3.3
Esbjerg,Alder i alt,I alt,2019,3.3
Læsø,Alder i alt,I alt,2019,5.8
Rebild,Alder i alt,I alt,2019,3.0
Mariagerfjord,Alder i alt,I alt,2019,3.7
Jammerbugt,Alder i alt,I alt,2019,3.2
Aalborg,Alder i alt,I alt,2019,4.8
Hjørring,Alder i alt,I alt,2019,3.9
Solrød,Alder i alt,I alt,2019,2.2
Gribskov,Alder i alt,I alt,2019,2.7
Odsherred,Alder i alt,I alt,2019,4.0
Holbæk,Alder i alt,I alt,2019,3.0
Faxe,Alder i alt,I alt,2019,3.5
Kalundborg,Alder i alt,I alt,2019,3.6
Ringsted,Alder i alt,I alt,2019,3.2
Slagelse,Alder i alt,I alt,2019,4.1
Stevns,Alder i alt,I alt,2019,3.3
Sorø,Alder i alt,I alt,2019,3.5
Lejre,Alder i alt,I alt,2019,2.5
Lolland,Alder i alt,I alt,2019,4.8
Næstved,Alder i alt,I alt,2019,3.7
Guldborgsund,Alder i alt,I alt,2019,4.3
Vordingborg,Alder i alt,I alt,2019,4.5
Bornholm,Alder i alt,I alt,2019,3.9
Fanø,Alder i alt,I alt,2019,4.0
Varde,Alder i alt,I alt,2019,2.5
Vejen,Alder i alt,I alt,2019,2.6
Aabenraa,Alder i alt,I alt,2019,3.3
Fredericia,Alder i alt,I alt,2019,4.2
Horsens,Alder i alt,I alt,2019,3.3
Kolding,Alder i alt,I alt,2019,3.4
Vejle,Alder i alt,I alt,2019,3.0
Herning,Alder i alt,I alt,2019,3.2
Holstebro,Alder i alt,I alt,2019,2.7
Lemvig,Alder i alt,I alt,2019,2.7
Struer,Alder i alt,I alt,2019,3.7
Syddjurs,Alder i alt,I alt,2019,3.2
Norddjurs,Alder i alt,I alt,2019,4.2
Favrskov,Alder i alt,I alt,2019,2.4
Odder,Alder i alt,I alt,2019,2.9
København,Alder i alt,I alt,2015,5.5
Frederiksberg,Alder i alt,I alt,2015,4.7
Ballerup,Alder i alt,I alt,2015,4.4
Brøndby,Alder i alt,I alt,2015,6.1
Dragør,Alder i alt,I alt,2015,3.0
Gentofte,Alder i alt,I alt,2015,3.1
Gladsaxe,Alder i alt,I alt,2015,4.5
Glostrup,Alder i alt,I alt,2015,5.3
Herlev,Alder i alt,I alt,2015,4.5
Køge,Alder i alt,I alt,2009,4.8
Halsnæs,Alder i alt,I alt,2009,5.2
Roskilde,Alder i alt,I alt,2009,3.2
Solrød,Alder i alt,I alt,2009,3.5
Gribskov,Alder i alt,I alt,2009,3.5
Odsherred,Alder i alt,I alt,2009,5.2
